participant_id,participant,experiment,exp_group,sex,age,stimulus,logdice,stim_code,source_code,source_type,is_drm,response,accuracy,rt,log_rt,rt_valid,list_num,word_num,list_half,interval,verbalization,interval_label,verbalization_label
Попова_д_2,2,Попова_д,EG2,m,32,закат,8.05763816589975,1,0,partner,0,0,1,1.568,0.44980092192821614,True,1,6,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,лето,8.41582156734133,1,1,self,0,0,0,0.624,-0.47160491061270937,True,1,7,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,соль,7.88185157901076,1,0,partner,0,0,1,0.657,-0.4200712604975265,True,1,8,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,чайка,8.3137989219784,1,1,self,0,0,0,0.92,-0.08338160893905101,True,1,9,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,корабль,10.1857601162805,1,0,partner,0,0,1,0.791,-0.23445731121448313,True,1,10,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,море,,2,2,drm,1,0,0,0.714,-0.33687231664255274,True,1,0,0,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,снег,9.87285264957895,1,1,self,0,0,0,1.912,0.6481498146292095,True,2,1,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,высота,9.51413881228487,1,0,partner,0,0,1,0.928,-0.07472354619593642,True,2,2,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,камень,9.53683415940488,1,1,self,0,0,0,0.784,-0.24334625863172918,True,2,3,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,вершина,10.9851345563969,1,0,partner,0,0,1,1.287,0.25231392861398955,True,2,4,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,альпинист,7.40369919466379,1,1,self,0,0,0,0.804,-0.21815600980317063,True,2,5,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,лыжи,7.80692511638619,1,0,partner,0,0,1,0.686,-0.3768776512562517,True,2,6,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,река,10.2676516439352,1,1,self,0,0,0,1.844,0.6119371251344021,True,2,7,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,небо,9.39539475761566,1,0,partner,0,0,1,0.871,-0.13811330212963427,True,2,8,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,лавина,7.51955588082066,1,1,self,0,0,0,2.306,0.8355144218468673,True,2,9,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,скала,9.39684812429488,1,0,partner,0,0,1,1.307,0.26773443464208485,True,2,10,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,гора,,2,2,drm,1,0,0,1.762,0.5664495275139878,True,2,0,0,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,интерес,8.19467534424044,1,1,self,0,0,0,0.806,-0.2156715364755087,True,3,1,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,знание,8.07594369621188,1,0,partner,0,0,1,1.228,0.2053868297249507,True,3,2,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,библиотека,10.2943144728552,1,1,self,0,0,0,1.318,0.2761154360803155,True,3,3,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,страница,10.0550873183058,1,0,partner,0,0,1,0.462,-0.7721903879003982,True,3,4,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,учеба,5.7949812572643,1,1,self,0,0,0,1.155,0.14410034397375687,True,3,5,1,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,история,9.47715690668496,1,0,partner,0,0,1,0.722,-0.32573014008931084,True,3,6,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,чтение,10.0997964554943,1,1,self,0,0,0,0.663,-0.4109802887962745,True,3,7,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,буква,7.71378001021515,1,0,partner,0,0,1,0.736,-0.3065251602532608,True,3,8,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,обложка,8.74217189935687,1,1,self,0,0,0,0.724,-0.3229638865964207,True,3,9,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,переплет,9.28957884499014,1,0,partner,0,0,1,1.01,0.009950330853168092,True,3,10,2,1,0,delayed,no_verb
Попова_д_2,2,Попова_д,EG2,m,32,книга,,2,2,drm,1,1,0,0.596,-0.5175146119167874,True,3,0,0,1,0,delayed,no_verb
